UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",241,"R",48,"R",61,"R",95,"R",37,"R",0,"R",0
100654,10,"R",241,"R",48,"R",61,"R",95,"R",37,"R",0,"R",0
100654,20,"R",108,"R",44,"R",49,"R",15,"R",0,"R",0,"R",0
100654,30,"R",44,"R",1,"R",5,"R",35,"R",3,"R",0,"R",0
100654,40,"R",89,"R",3,"R",7,"R",45,"R",34,"R",0,"R",0
100654,42,"R",89,"R",3,"R",7,"R",45,"R",34,"R",0,"R",0
100663, 0,"R",2110,"R",624,"R",561,"R",740,"R",185,"R",0,"R",0
100663,10,"R",2110,"R",624,"R",561,"R",740,"R",185,"R",0,"R",0
100663,20,"R",799,"R",512,"R",283,"R",4,"R",0,"R",0,"R",0
100663,30,"R",447,"R",18,"R",83,"R",345,"R",1,"R",0,"R",0
100663,40,"R",864,"R",94,"R",195,"R",391,"R",184,"R",0,"R",0
100663,42,"R",864,"R",94,"R",195,"R",391,"R",184,"R",0,"R",0
100690, 0,"R",38,"R",0,"R",0,"R",0,"R",38,"R",0,"R",0
100690,10,"R",38,"R",0,"R",0,"R",0,"R",38,"R",0,"R",0
100690,40,"R",38,"R",0,"R",0,"R",0,"R",38,"R",0,"R",0
100690,42,"R",38,"R",0,"R",0,"R",0,"R",38,"R",0,"R",0
100706, 0,"R",314,"R",80,"R",95,"R",84,"R",14,"R",41,"R",0
100706,10,"R",314,"R",80,"R",95,"R",84,"R",14,"R",41,"R",0
100706,20,"R",156,"R",77,"R",78,"R",1,"R",0,"R",0,"R",0
100706,30,"R",67,"R",1,"R",8,"R",58,"R",0,"R",0,"R",0
100706,40,"R",91,"R",2,"R",9,"R",25,"R",14,"R",41,"R",0
100706,41,"R",76,"R",2,"R",7,"R",20,"R",11,"R",36,"R",0
100706,42,"R",15,"R",0,"R",2,"R",5,"R",3,"R",5,"R",0
100724, 0,"R",276,"R",64,"R",65,"R",89,"R",58,"R",0,"R",0
100724,10,"R",276,"R",64,"R",65,"R",89,"R",58,"R",0,"R",0
100724,20,"R",112,"R",62,"R",41,"R",7,"R",2,"R",0,"R",0
100724,30,"R",80,"R",2,"R",19,"R",58,"R",1,"R",0,"R",0
100724,40,"R",84,"R",0,"R",5,"R",24,"R",55,"R",0,"R",0
100724,42,"R",84,"R",0,"R",5,"R",24,"R",55,"R",0,"R",0
100751, 0,"R",1239,"R",338,"R",309,"R",327,"R",253,"R",12,"R",0
