UNITID,FACSTAT,XSISTOTL,SISTOTL,XSISPROF,SISPROF,XSISASCP,SISASCP,XSISASTP,SISASTP,XSISINST,SISINST,XSISLECT,SISLECT,XSISNORK,SISNORK 
100654, 0,"R",263,"R",55,"R",76,"R",94,"R",33,"R",0,"R",5
100654,10,"R",263,"R",55,"R",76,"R",94,"R",33,"R",0,"R",5
100654,20,"R",119,"R",50,"R",54,"R",15,"R",0,"R",0,"R",0
100654,30,"R",46,"R",3,"R",8,"R",35,"R",0,"R",0,"R",0
100654,40,"R",98,"R",2,"R",14,"R",44,"R",33,"R",0,"R",5
100654,41,"R",96,"R",2,"R",14,"R",43,"R",32,"R",0,"R",5
100654,42,"R",2,"R",0,"R",0,"R",1,"R",1,"R",0,"R",0
100663, 0,"R",2244,"R",653,"R",595,"R",777,"R",219,"R",0,"R",0
100663,10,"R",2244,"R",653,"R",595,"R",777,"R",219,"R",0,"R",0
100663,20,"R",831,"R",530,"R",298,"R",3,"R",0,"R",0,"R",0
100663,30,"R",457,"R",21,"R",76,"R",360,"R",0,"R",0,"R",0
100663,40,"R",956,"R",102,"R",221,"R",414,"R",219,"R",0,"R",0
100663,42,"R",956,"R",102,"R",221,"R",414,"R",219,"R",0,"R",0
100690, 0,"R",41,"R",0,"R",0,"R",0,"R",41,"R",0,"R",0
100690,10,"R",41,"R",0,"R",0,"R",0,"R",41,"R",0,"R",0
100690,40,"R",41,"R",0,"R",0,"R",0,"R",41,"R",0,"R",0
100690,42,"R",41,"R",0,"R",0,"R",0,"R",41,"R",0,"R",0
100706, 0,"R",312,"R",76,"R",91,"R",93,"R",12,"R",40,"R",0
100706,10,"R",312,"R",76,"R",91,"R",93,"R",12,"R",40,"R",0
100706,20,"R",153,"R",74,"R",78,"R",1,"R",0,"R",0,"R",0
100706,30,"R",76,"R",0,"R",7,"R",69,"R",0,"R",0,"R",0
100706,40,"R",83,"R",2,"R",6,"R",23,"R",12,"R",40,"R",0
100706,41,"R",77,"R",2,"R",6,"R",21,"R",12,"R",36,"R",0
100706,42,"R",6,"R",0,"R",0,"R",2,"R",0,"R",4,"R",0
100724, 0,"R",274,"R",56,"R",65,"R",92,"R",50,"R",0,"R",11
100724,10,"R",263,"R",56,"R",65,"R",92,"R",50,"R",0,"R",0
100724,20,"R",110,"R",55,"R",41,"R",14,"R",0,"R",0,"R",0
100724,30,"R",71,"R",1,"R",19,"R",51,"R",0,"R",0,"R",0
100724,40,"R",82,"R",0,"R",5,"R",27,"R",50,"R",0,"R",0
100724,42,"R",82,"R",0,"R",5,"R",27,"R",50,"R",0,"R",0
100724,50,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11
100751, 0,"R",1252,"R",331,"R",318,"R",328,"R",263,"R",12,"R",0
100751,10,"R",1252,"R",331,"R",318,"R",328,"R",263,"R",12,"R",0
100751,20,"R",597,"R",312,"R",278,"R",7,"R",0,"R",0,"R",0
100751,30,"R",261,"R",2,"R",15,"R",244,"R",0,"R",0,"R",0
100751,40,"R",394,"R",17,"R",25,"R",77,"R",263,"R",12,"R",0
100751,42,"R",394,"R",17,"R",25,"R",77,"R",263,"R",12,"R",0
100760, 0,"R",59,"R",0,"R",0,"R",0,"R",0,"R",0,"R",59
100760,10,"R",59,"R",0,"R",0,"R",0,"R",0,"R",0,"R",59
100760,20,"R",37,"R",0,"R",0,"R",0,"R",0,"R",0,"R",37
100760,30,"R",21,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21
100760,40,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
100760,42,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
100812, 0,"R",84,"R",17,"R",27,"R",37,"R",3,"R",0,"R",0
100812,10,"R",84,"R",17,"R",27,"R",37,"R",3,"R",0,"R",0
100812,20,"R",68,"R",17,"R",26,"R",22,"R",3,"R",0,"R",0
100812,30,"R",16,"R",0,"R",1,"R",15,"R",0,"R",0,"R",0
100830, 0,"R",203,"R",53,"R",67,"R",61,"R",14,"R",8,"R",0
100830,10,"R",203,"R",53,"R",67,"R",61,"R",14,"R",8,"R",0
100830,20,"R",103,"R",53,"R",44,"R",6,"R",0,"R",0,"R",0
100830,30,"R",67,"R",0,"R",21,"R",45,"R",1,"R",0,"R",0
100830,40,"R",33,"R",0,"R",2,"R",10,"R",13,"R",8,"R",0
100830,41,"R",14,"R",0,"R",2,"R",9,"R",2,"R",1,"R",0
100830,42,"R",14,"R",0,"R",0,"R",0,"R",11,"R",3,"R",0
100830,43,"R",5,"R",0,"R",0,"R",1,"R",0,"R",4,"R",0
100858, 0,"R",1184,"R",442,"R",403,"R",241,"R",89,"R",9,"R",0
100858,10,"R",1184,"R",442,"R",403,"R",241,"R",89,"R",9,"R",0
100858,20,"R",807,"R",434,"R",364,"R",9,"R",0,"R",0,"R",0
100858,30,"R",217,"R",2,"R",16,"R",199,"R",0,"R",0,"R",0
100858,40,"R",160,"R",6,"R",23,"R",33,"R",89,"R",9,"R",0
100858,43,"R",160,"R",6,"R",23,"R",33,"R",89,"R",9,"R",0
100937, 0,"R",86,"R",33,"R",22,"R",25,"R",4,"R",2,"R",0
100937,10,"R",86,"R",33,"R",22,"R",25,"R",4,"R",2,"R",0
100937,20,"R",55,"R",33,"R",22,"R",0,"R",0,"R",0,"R",0
100937,30,"R",25,"R",0,"R",0,"R",25,"R",0,"R",0,"R",0
100937,40,"R",6,"R",0,"R",0,"R",0,"R",4,"R",2,"R",0
100937,42,"R",6,"R",0,"R",0,"R",0,"R",4,"R",2,"R",0
101028, 0,"R",36,"R",0,"R",0,"R",0,"R",0,"R",0,"R",36
101028,10,"R",36,"R",0,"R",0,"R",0,"R",0,"R",0,"R",36
101028,20,"R",22,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22
101028,30,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",11
101028,40,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101028,42,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101028,43,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101073, 0,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,10,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,40,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101073,42,"R",21,"R",1,"R",6,"R",13,"R",1,"R",0,"R",0
101116, 0,"R",12,"R",0,"R",0,"R",5,"R",7,"R",0,"R",0
101116,10,"R",12,"R",0,"R",0,"R",5,"R",7,"R",0,"R",0
101116,40,"R",12,"R",0,"R",0,"R",5,"R",7,"R",0,"R",0
101116,41,"R",12,"R",0,"R",0,"R",5,"R",7,"R",0,"R",0
101143, 0,"R",69,"R",0,"R",0,"R",0,"R",0,"R",0,"R",69
101143,10,"R",69,"R",0,"R",0,"R",0,"R",0,"R",0,"R",69
101143,20,"R",54,"R",0,"R",0,"R",0,"R",0,"R",0,"R",54
101143,30,"R",15,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15
101161, 0,"R",82,"R",0,"R",0,"R",0,"R",0,"R",0,"R",82
101161,10,"R",82,"R",0,"R",0,"R",0,"R",0,"R",0,"R",82
101161,20,"R",62,"R",0,"R",0,"R",0,"R",0,"R",0,"R",62
101161,30,"R",17,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17
101161,40,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101161,42,"R",3,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3
101189, 0,"R",111,"R",43,"R",20,"R",39,"R",3,"R",4,"R",2
101189,10,"R",111,"R",43,"R",20,"R",39,"R",3,"R",4,"R",2
101189,20,"R",53,"R",42,"R",9,"R",2,"R",0,"R",0,"R",0
101189,30,"R",38,"R",0,"R",8,"R",28,"R",1,"R",0,"R",1
101189,40,"R",20,"R",1,"R",3,"R",9,"R",2,"R",4,"R",1
101189,42,"R",20,"R",1,"R",3,"R",9,"R",2,"R",4,"R",1
101240, 0,"R",150,"R",0,"R",0,"R",0,"R",0,"R",0,"R",150
101240,10,"R",150,"R",0,"R",0,"R",0,"R",0,"R",0,"R",150
101240,20,"R",122,"R",0,"R",0,"R",0,"R",0,"R",0,"R",122
101240,30,"R",28,"R",0,"R",0,"R",0,"R",0,"R",0,"R",28
101286, 0,"R",131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",131
101286,10,"R",131,"R",0,"R",0,"R",0,"R",0,"R",0,"R",131
101286,20,"R",96,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96
101286,30,"R",34,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34
101286,40,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101286,42,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1
101295, 0,"R",128,"R",0,"R",0,"R",0,"R",0,"R",0,"R",128
101295,10,"R",124,"R",0,"R",0,"R",0,"R",0,"R",0,"R",124
101295,20,"R",86,"R",0,"R",0,"R",0,"R",0,"R",0,"R",86
101295,30,"R",38,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38
101295,50,"R",4,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4
101301, 0,"R",55,"R",0,"R",0,"R",0,"R",0,"R",0,"R",55
101301,10,"R",55,"R",0,"R",0,"R",0,"R",0,"R",0,"R",55
101301,20,"R",33,"R",0,"R",0,"R",0,"R",0,"R",0,"R",33
101301,30,"R",20,"R",0,"R",0,"R",0,"R",0,"R",0,"R",20
101301,40,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101301,42,"R",2,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2
101365, 0,"R",8,"R",3,"R",4,"R",1,"R",0,"R",0,"R",0
101365,10,"R",8,"R",3,"R",4,"R",1,"R",0,"R",0,"R",0
101365,40,"R",8,"R",3,"R",4,"R",1,"R",0,"R",0,"R",0
101365,41,"R",8,"R",3,"R",4,"R",1,"R",0,"R",0,"R",0
101435, 0,"R",41,"R",8,"R",9,"R",23,"R",1,"R",0,"R",0
101435,10,"R",41,"R",8,"R",9,"R",23,"R",1,"R",0,"R",0
101435,20,"R",17,"R",8,"R",9,"R",0,"R",0,"R",0,"R",0
